epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93087,1.36733,3.87716,1.20492,0.00333,1,0.04053,0.0113,0.40748,3.36356,0.80891,8e-05,8e-05,8e-05
2,10.8846,0.88972,3.51877,0.97542,0.00333,1,0.08615,0.07108,0.73101,2.95578,0.69674,0.000176436,0.000176436,0.000176436
3,15.8198,0.79042,3.33445,0.83694,0.00333,1,0.89317,0.77591,0.59802,2.98434,0.67782,0.000268912,0.000268912,0.000268912
4,22.1467,0.72954,3.12507,0.84087,0.00333,1,0.4975,0.45316,0.57957,2.88042,0.66169,0.000357428,0.000357428,0.000357428
5,33.3531,0.92084,2.88981,0.88874,0.00333,1,0.995,0.78862,0.76087,2.92523,0.68518,0.000441984,0.000441984,0.000441984
6,44.686,0.75498,2.63127,0.82722,0.00333,1,0.995,0.754,0.67822,2.92074,0.68545,0.00052258,0.00052258,0.00052258
7,55.7076,0.76133,2.55179,0.85187,0.00333,1,0.995,0.93418,0.58506,2.77604,0.67951,0.000599216,0.000599216,0.000599216
8,66.8037,0.76514,2.24107,0.87457,0.00333,1,0.995,0.93418,0.58506,2.77604,0.67951,0.000671892,0.000671892,0.000671892
9,78.0113,0.88893,2.07391,0.94048,0.00333,1,0.995,0.81536,0.64639,2.6707,0.68005,0.000740608,0.000740608,0.000740608
10,85.0505,0.74136,1.88466,0.89113,0.00333,1,0.995,0.85977,0.73273,2.81795,0.71607,0.000805364,0.000805364,0.000805364
11,90.2669,0.83074,1.82447,0.94125,0.00333,1,0.995,0.85977,0.73273,2.81795,0.71607,0.00086616,0.00086616,0.00086616
12,95.7185,0.79598,1.77812,0.89953,0.00333,1,0.995,0.7755,0.72325,2.60412,0.74163,0.000922996,0.000922996,0.000922996
13,100.76,0.82457,1.7705,0.91341,0.00333,1,0.995,0.7755,0.72325,2.60412,0.74163,0.000975872,0.000975872,0.000975872
14,105.987,0.86267,1.35598,0.87226,0.00333,1,0.995,0.7755,0.72325,2.60412,0.74163,0.00102479,0.00102479,0.00102479
15,111.305,0.79091,1.4907,0.88815,0.00333,1,0.995,0.81829,0.74646,2.73491,0.75674,0.00106974,0.00106974,0.00106974
16,116.665,0.85122,1.46124,0.90305,0.00333,1,0.995,0.81829,0.74646,2.73491,0.75674,0.00111074,0.00111074,0.00111074
17,122.072,0.73871,1.63186,0.93033,0.00333,1,0.995,0.81829,0.74646,2.73491,0.75674,0.00114778,0.00114778,0.00114778
18,127.55,0.78841,1.58706,0.88505,0.00333,1,0.995,0.83489,0.61926,2.81771,0.76465,0.00118085,0.00118085,0.00118085
19,132.959,0.79417,1.41467,0.8951,0.00333,1,0.995,0.83489,0.61926,2.81771,0.76465,0.00120997,0.00120997,0.00120997
20,138.184,0.81294,1.43778,0.94079,0.00333,1,0.995,0.83489,0.61926,2.81771,0.76465,0.00123512,0.00123512,0.00123512
21,143.464,0.84461,1.59172,0.92927,0.9578,1,0.995,0.86133,0.68945,2.39426,0.81589,0.001208,0.001208,0.001208
22,148.715,0.86088,1.38866,0.90332,0.9578,1,0.995,0.86133,0.68945,2.39426,0.81589,0.0011684,0.0011684,0.0011684
23,153.919,0.91618,1.32909,0.90522,0.9578,1,0.995,0.86133,0.68945,2.39426,0.81589,0.0011288,0.0011288,0.0011288
24,159.234,0.80768,1.24743,0.93086,0.99228,1,0.995,0.90175,0.62608,1.85488,0.82144,0.0010892,0.0010892,0.0010892
25,164.557,0.74513,1.31579,0.88762,0.99228,1,0.995,0.90175,0.62608,1.85488,0.82144,0.0010496,0.0010496,0.0010496
26,169.931,0.71975,1.33494,0.88269,0.99228,1,0.995,0.90175,0.62608,1.85488,0.82144,0.00101,0.00101,0.00101
27,175.322,0.67207,1.30517,0.86931,0.99677,1,0.995,0.87148,0.52475,1.24815,0.78373,0.0009704,0.0009704,0.0009704
28,180.464,0.73672,1.22293,0.89679,0.99677,1,0.995,0.87148,0.52475,1.24815,0.78373,0.0009308,0.0009308,0.0009308
29,185.495,0.77771,1.23108,0.89543,0.99677,1,0.995,0.87148,0.52475,1.24815,0.78373,0.0008912,0.0008912,0.0008912
30,190.721,0.76172,1.18652,0.91314,0.99736,1,0.995,0.89554,0.59445,1.05126,0.78986,0.0008516,0.0008516,0.0008516
31,195.842,0.7895,1.20402,0.88642,0.99736,1,0.995,0.89554,0.59445,1.05126,0.78986,0.000812,0.000812,0.000812
32,201.155,0.76772,1.32285,0.9176,0.99736,1,0.995,0.89554,0.59445,1.05126,0.78986,0.0007724,0.0007724,0.0007724
33,206.365,0.68314,1.22731,0.86222,0.99736,1,0.995,0.89554,0.59445,1.05126,0.78986,0.0007328,0.0007328,0.0007328
34,211.607,0.706,1.17108,0.88753,0.99743,1,0.995,0.82294,0.63202,0.98901,0.78587,0.0006932,0.0006932,0.0006932
35,216.843,0.57063,1.14598,0.86123,0.99743,1,0.995,0.82294,0.63202,0.98901,0.78587,0.0006536,0.0006536,0.0006536
36,222.251,0.60345,1.29363,0.88133,0.99743,1,0.995,0.82294,0.63202,0.98901,0.78587,0.000614,0.000614,0.000614
37,227.55,0.55915,1.08311,0.8617,0.99745,1,0.995,0.83008,0.60414,0.91767,0.77849,0.0005744,0.0005744,0.0005744
38,232.632,0.62754,1.13361,0.90147,0.99745,1,0.995,0.83008,0.60414,0.91767,0.77849,0.0005348,0.0005348,0.0005348
39,237.862,0.51769,1.12202,0.86352,0.99745,1,0.995,0.83008,0.60414,0.91767,0.77849,0.0004952,0.0004952,0.0004952
40,243.285,0.66937,1.17728,0.85784,0.99748,1,0.995,0.8278,0.53186,0.89062,0.77433,0.0004556,0.0004556,0.0004556
41,248.636,0.60584,1.45443,0.86858,0.99748,1,0.995,0.8278,0.53186,0.89062,0.77433,0.000416,0.000416,0.000416
42,253.773,0.54662,1.5057,0.7973,0.99748,1,0.995,0.8278,0.53186,0.89062,0.77433,0.0003764,0.0003764,0.0003764
43,259.051,0.59521,1.58915,0.84844,0.99746,1,0.995,0.83756,0.49188,0.94159,0.7726,0.0003368,0.0003368,0.0003368
44,264.237,0.51771,1.50161,0.75889,0.99746,1,0.995,0.83756,0.49188,0.94159,0.7726,0.0002972,0.0002972,0.0002972
45,269.43,0.53223,1.45148,0.80274,0.99746,1,0.995,0.83756,0.49188,0.94159,0.7726,0.0002576,0.0002576,0.0002576
46,274.571,0.49444,1.43944,0.80042,0.99737,1,0.995,0.87406,0.44949,0.93247,0.77313,0.000218,0.000218,0.000218
47,279.695,0.49366,1.4038,0.80281,0.99737,1,0.995,0.87406,0.44949,0.93247,0.77313,0.0001784,0.0001784,0.0001784
48,284.704,0.45987,1.38295,0.85022,0.99737,1,0.995,0.87406,0.44949,0.93247,0.77313,0.0001388,0.0001388,0.0001388
49,289.789,0.55714,1.43309,0.85896,0.99737,1,0.995,0.87406,0.44949,0.93247,0.77313,9.92e-05,9.92e-05,9.92e-05
50,295.023,0.50382,1.41687,0.83194,0.99735,1,0.995,0.87872,0.43311,0.93418,0.77235,5.96e-05,5.96e-05,5.96e-05
